/media/ubuntu/D/GHF_pycode/Mapper_a_critic_c/0/train.py

Namespace(agent_type=0, agents=175, attend_heads=4, critic_hidden_dim=320, critic_model_dir='critic_weights', entropy_weight=0.01, exp=2, gamma=0.99, goal_range=6, interval=100, load=False, lr=0.0003, map='60_65_hard', map_dir='map', model_dir='weights', name=None, num_updates=4, obs=30, pi_lr=0.001, pol_hidden_dim=128, q_lr=0.0001, render=False, reward_scale=20.0, seed=123, sub_num_agent=15, tau=0.001, train=True)

Device: cuda:0

Environments loaded

Exp 2 | Agent 0 | Epi 117 | succ rate 0.30| avg reward -108.53| collision 0.91| extra 14.51| max reward -15.56| L 58.615 | eL 13.171 | aL 52.929 | cL 10000000.000
Exp 2 | Agent 0 | Epi 118 | succ rate 0.35| avg reward -168.04| collision 0.90| extra 23.83| max reward 16.60| L -69.286 | eL 386.364 | aL -81.618 | cL 10000000.000
Exp 2 | Agent 0 | Epi 119 | succ rate 0.34| avg reward -199.15| collision 0.93| extra 27.14| max reward -236.55| L 28.376 | eL 65.798 | aL 25.846 | cL 10000000.000
Exp 2 | Agent 0 | Epi 120 | succ rate 0.24| avg reward -148.08| collision 0.87| extra 19.30| max reward -192.91| L -86.423 | eL 315.976 | aL -124.176 | cL 10000000.000
Exp 2 | Agent 0 | Epi 121 | succ rate 0.34| avg reward -170.92| collision 0.90| extra 24.28| max reward -268.29| L -77.287 | eL 375.253 | aL -226.993 | cL 10000000.000
Exp 2 | Agent 0 | Epi 122 | succ rate 0.31| avg reward -138.52| collision 0.90| extra 19.30| max reward -201.68| L -18.871 | eL 147.081 | aL -22.662 | cL 10000000.000
Exp 2 | Agent 0 | Epi 123 | succ rate 0.34| avg reward -162.52| collision 0.88| extra 20.95| max reward -241.41| L -97.660 | eL 377.388 | aL -159.635 | cL 10000000.000
Exp 2 | Agent 0 | Epi 124 | succ rate 0.37| avg reward -153.75| collision 0.86| extra 20.03| max reward -1.58| L -28.319 | eL 208.379 | aL -33.921 | cL 10000000.000
Exp 2 | Agent 0 | Epi 125 | succ rate 0.29| avg reward -118.80| collision 0.94| extra 16.26| max reward -35.33| L -90.692 | eL 263.436 | aL -132.566 | cL 10000000.000
Exp 2 | Agent 0 | Epi 126 | succ rate 0.30| avg reward -166.00| collision 0.92| extra 22.51| max reward -254.01| L 42.174 | eL 46.084 | aL 38.723 | cL 10000000.000
Exp 2 | Agent 0 | Epi 127 | succ rate 0.27| avg reward -170.46| collision 0.93| extra 23.68| max reward -171.65| L -98.223 | eL 359.852 | aL -180.419 | cL 10000000.000
Exp 2 | Agent 0 | Epi 128 | succ rate 0.34| avg reward -122.06| collision 0.87| extra 17.93| max reward -0.32| L -55.691 | eL 281.010 | aL -63.942 | cL 10000000.000
Exp 2 | Agent 0 | Epi 129 | succ rate 0.29| avg reward -181.37| collision 0.90| extra 24.58| max reward -134.86| L -96.865 | eL 377.580 | aL -142.617 | cL 10000000.000
Exp 2 | Agent 0 | Epi 130 | succ rate 0.26| avg reward -159.63| collision 0.93| extra 19.39| max reward 7.11| L -80.251 | eL 324.853 | aL -271.131 | cL 10000000.000
