/media/ubuntu/D/GHF_pycode/Mapper_a_critic_c/0/train.py

Namespace(agent_type=0, agents=175, attend_heads=4, critic_hidden_dim=1400, critic_model_dir='critic_weights', entropy_weight=0.01, exp=1, gamma=0.99, goal_range=6, interval=100, load=False, lr=0.0003, map='60_65_hard', map_dir='map', model_dir='weights', name=None, num_updates=4, obs=30, pi_lr=0.001, pol_hidden_dim=128, q_lr=0.0001, render=False, reward_scale=20.0, seed=9527, sub_num_agent=15, tau=0.001, train=True)

Device: cuda:0

Environments loaded

Exp 1 | Agent 0 | Epi 63 | succ rate 0.28| avg reward -179.48| collision 0.90| extra 22.95| max reward -268.57| L -82.689 | eL 280.485 | aL -122.987 | cL 10000000.000
Exp 1 | Agent 0 | Epi 64 | succ rate 0.32| avg reward -171.09| collision 0.93| extra 23.70| max reward -256.93| L -102.178 | eL 368.204 | aL -164.647 | cL 10000000.000
Exp 1 | Agent 0 | Epi 65 | succ rate 0.28| avg reward -182.67| collision 0.94| extra 23.25| max reward -55.87| L -44.914 | eL 181.913 | aL -55.654 | cL 10000000.000
Exp 1 | Agent 0 | Epi 66 | succ rate 0.34| avg reward -188.51| collision 0.88| extra 26.24| max reward -228.32| L 12.553 | eL 56.979 | aL 10.801 | cL 10000000.000
Exp 1 | Agent 0 | Epi 67 | succ rate 0.27| avg reward -164.86| collision 0.91| extra 22.60| max reward 12.12| L -99.120 | eL 333.092 | aL -146.443 | cL 10000000.000
Exp 1 | Agent 0 | Epi 68 | succ rate 0.29| avg reward -189.51| collision 0.92| extra 24.71| max reward -239.14| L -94.554 | eL 394.469 | aL -143.314 | cL 10000000.000
Exp 1 | Agent 0 | Epi 69 | succ rate 0.21| avg reward -141.10| collision 0.94| extra 17.08| max reward 22.40| L -11.421 | eL 94.202 | aL -13.669 | cL 10000000.000
Exp 1 | Agent 0 | Epi 70 | succ rate 0.34| avg reward -177.33| collision 0.90| extra 22.39| max reward -158.36| L -92.706 | eL 385.651 | aL -139.091 | cL 10000000.000
Exp 1 | Agent 0 | Epi 71 | succ rate 0.27| avg reward -193.86| collision 0.94| extra 25.05| max reward -276.92| L -81.738 | eL 385.794 | aL -123.128 | cL 10000000.000
Exp 1 | Agent 0 | Epi 72 | succ rate 0.30| avg reward -130.27| collision 0.92| extra 17.17| max reward -246.70| L -92.818 | eL 280.396 | aL -127.815 | cL 10000000.000
Exp 1 | Agent 0 | Epi 73 | succ rate 0.24| avg reward -155.18| collision 0.93| extra 20.93| max reward -194.22| L -77.397 | eL 315.568 | aL -101.997 | cL 10000000.000
Exp 1 | Agent 0 | Epi 74 | succ rate 0.30| avg reward -178.34| collision 0.94| extra 21.34| max reward -171.20| L -95.364 | eL 368.029 | aL -172.445 | cL 10000000.000
Exp 1 | Agent 0 | Epi 75 | succ rate 0.28| avg reward -146.76| collision 0.91| extra 18.05| max reward -205.80| L 47.167 | eL 74.476 | aL 43.590 | cL 10000000.000
Exp 1 | Agent 0 | Epi 76 | succ rate 0.29| avg reward -141.94| collision 0.94| extra 18.66| max reward -119.03| L 8.351 | eL 65.730 | aL 5.995 | cL 10000000.000
Exp 1 | Agent 0 | Epi 77 | succ rate 0.32| avg reward -184.84| collision 0.93| extra 22.70| max reward -281.21| L -99.694 | eL 394.484 | aL -154.908 | cL 10000000.000
Exp 1 | Agent 0 | Epi 78 | succ rate 0.33| avg reward -163.98| collision 0.90| extra 22.85| max reward -110.00| L -79.019 | eL 368.056 | aL -102.451 | cL 10000000.000
Exp 1 | Agent 0 | Epi 79 | succ rate 0.27| avg reward -175.54| collision 0.94| extra 23.14| max reward 23.23| L -31.983 | eL 127.050 | aL -37.726 | cL 10000000.000
Exp 1 | Agent 0 | Epi 80 | succ rate 0.32| avg reward -120.13| collision 0.91| extra 17.96| max reward -153.95| L -81.146 | eL 280.551 | aL -105.647 | cL 10000000.000
Exp 1 | Agent 0 | Epi 81 | succ rate 0.36| avg reward -155.45| collision 0.87| extra 22.75| max reward -199.43| L -78.988 | eL 368.278 | aL -97.543 | cL 10000000.000
Exp 1 | Agent 0 | Epi 82 | succ rate 0.31| avg reward -147.62| collision 0.93| extra 19.21| max reward -161.29| L -78.194 | eL 324.319 | aL -98.011 | cL 10000000.000
Exp 1 | Agent 0 | Epi 83 | succ rate 0.25| avg reward -167.00| collision 0.93| extra 23.09| max reward -229.07| L -97.316 | eL 350.495 | aL -148.648 | cL 10000000.000
Exp 1 | Agent 0 | Epi 84 | succ rate 0.29| avg reward -161.20| collision 0.94| extra 20.56| max reward -217.81| L -84.195 | eL 350.467 | aL -221.301 | cL 10000000.000
Exp 1 | Agent 0 | Epi 85 | succ rate 0.25| avg reward -196.77| collision 0.97| extra 25.30| max reward -170.18| L -105.073 | eL 377.046 | aL -181.664 | cL 10000000.000
Exp 1 | Agent 0 | Epi 86 | succ rate 0.31| avg reward -137.26| collision 0.90| extra 18.31| max reward -174.90| L -47.629 | eL 258.647 | aL -64.311 | cL 10000000.000
Exp 1 | Agent 0 | Epi 87 | succ rate 0.27| avg reward -148.66| collision 0.93| extra 19.53| max reward -169.09| L -82.179 | eL 297.958 | aL -112.146 | cL 10000000.000
Exp 1 | Agent 0 | Epi 88 | succ rate 0.36| avg reward -175.49| collision 0.91| extra 23.70| max reward -236.20| L 24.203 | eL 63.514 | aL 22.886 | cL 10000000.000
Exp 1 | Agent 0 | Epi 89 | succ rate 0.26| avg reward -181.67| collision 0.89| extra 23.14| max reward -183.03| L -87.576 | eL 376.978 | aL -155.914 | cL 10000000.000
Exp 1 | Agent 0 | Epi 90 | succ rate 0.25| avg reward -158.67| collision 0.93| extra 22.01| max reward -242.67| L -99.558 | eL 324.142 | aL -173.829 | cL 10000000.000
Exp 1 | Agent 0 | Epi 91 | succ rate 0.34| avg reward -162.91| collision 0.90| extra 22.23| max reward 19.97| L -97.222 | eL 367.976 | aL -148.081 | cL 10000000.000
Exp 1 | Agent 0 | Epi 92 | succ rate 0.26| avg reward -189.89| collision 0.92| extra 22.77| max reward -159.36| L -95.190 | eL 385.548 | aL -140.373 | cL 10000000.000
Exp 1 | Agent 0 | Epi 93 | succ rate 0.24| avg reward -200.20| collision 0.95| extra 26.07| max reward -242.59| L 30.771 | eL 48.205 | aL 28.579 | cL 10000000.000
Exp 1 | Agent 0 | Epi 94 | succ rate 0.29| avg reward -184.36| collision 0.93| extra 24.22| max reward -339.40| L -80.803 | eL 376.712 | aL -314.217 | cL 10000000.000
Exp 1 | Agent 0 | Epi 95 | succ rate 0.41| avg reward -169.99| collision 0.88| extra 24.07| max reward -292.59| L 52.914 | eL 37.226 | aL 47.861 | cL 10000000.000
Exp 1 | Agent 0 | Epi 96 | succ rate 0.30| avg reward -149.94| collision 0.91| extra 20.82| max reward -282.42| L -82.654 | eL 306.690 | aL -109.659 | cL 10000000.000
Exp 1 | Agent 0 | Epi 97 | succ rate 0.33| avg reward -173.13| collision 0.91| extra 23.70| max reward -432.61| L -75.606 | eL 368.063 | aL -279.455 | cL 10000000.000
Exp 1 | Agent 0 | Epi 98 | succ rate 0.35| avg reward -172.82| collision 0.93| extra 21.72| max reward -270.81| L -100.903 | eL 376.680 | aL -160.026 | cL 10000000.000
Exp 1 | Agent 0 | Epi 99 | succ rate 0.28| avg reward -192.97| collision 0.94| extra 26.62| max reward -287.04| L -29.483 | eL 210.301 | aL -36.863 | cL 10000000.000
Exp 1 | Agent 0 | Epi 100 | succ rate 0.34| avg reward -162.31| collision 0.92| extra 19.82| max reward -239.93| L -70.386 | eL 368.207 | aL -91.047 | cL 10000000.000
Exp 1 | Agent 0 | Epi 101 | succ rate 0.33| avg reward -120.92| collision 0.88| extra 15.74| max reward -126.61| L -74.400 | eL 271.719 | aL -99.135 | cL 10000000.000
Exp 1 | Agent 0 | Epi 102 | succ rate 0.39| avg reward -177.19| collision 0.91| extra 23.42| max reward -501.08| L -104.633 | eL 411.902 | aL -154.982 | cL 10000000.000
Exp 1 | Agent 0 | Epi 103 | succ rate 0.38| avg reward -181.62| collision 0.91| extra 24.08| max reward -256.41| L -38.887 | eL 369.825 | aL -47.258 | cL 10000000.000
Exp 1 | Agent 0 | Epi 104 | succ rate 0.36| avg reward -165.16| collision 0.89| extra 21.21| max reward -13.46| L -93.906 | eL 384.997 | aL -129.032 | cL 10000000.000
Exp 1 | Agent 0 | Epi 105 | succ rate 0.24| avg reward -134.48| collision 0.93| extra 18.14| max reward -255.52| L -97.834 | eL 270.889 | aL -154.902 | cL 10000000.000
