exp,type,update,success_rate,avg_reward,collision,extra,max_reward,loss,entropy,actor_loss,critic_loss
0,0,47,0.2742857142857143,-136.61807649884906,0.9085714285714286,18.660266416958148,-18.269994735717773,-45.702552795410156,170.2108612060547,-63.92176055908203,10000000.0
0,0,48,0.2742857142857143,-159.71091817583357,0.9142857142857143,22.090373305413586,-196.01304626464844,-77.5526123046875,204.38414001464844,-169.41441345214844,10000000.0
0,0,49,0.26285714285714284,-142.41426574707032,0.8742857142857143,18.361545954647433,-207.9092559814453,-88.28042602539062,278.1381530761719,-131.89254760742188,10000000.0
0,0,50,0.3028571428571429,-166.60753888266427,0.9257142857142857,22.567185296153454,-218.6730499267578,-70.1165771484375,351.2218017578125,-206.58050537109375,10000000.0
0,0,51,0.32571428571428573,-169.73514104570663,0.9314285714285714,20.963717795916402,-254.50697326660156,-61.62625503540039,318.7248840332031,-93.74467468261719,10000000.0
0,0,52,0.4,-159.6797115761893,0.88,22.721007339360725,-185.48013305664062,13.591463088989258,112.4370346069336,12.704988479614258,10000000.0
0,0,53,0.3314285714285714,-172.45174817221505,0.9142857142857143,21.572609697347616,-214.72146606445312,-54.79859924316406,170.8199005126953,-95.07298278808594,10000000.0
0,0,54,0.29714285714285715,-162.59594559805734,0.9485714285714286,20.207200825191553,-257.3476257324219,-66.3890609741211,266.2145690917969,-124.5768051147461,10000000.0
0,0,55,0.24571428571428572,-148.23383108956475,0.92,20.63022402646483,-207.316162109375,47.09465026855469,20.64027214050293,41.5897216796875,10000000.0
0,0,56,0.22285714285714286,-153.67597792489187,0.9028571428571428,19.80432812844741,-173.82052612304688,-66.85476684570312,241.0098114013672,-117.67874908447266,10000000.0
0,0,57,0.3028571428571429,-188.01430291312082,0.8857142857142857,23.301958534853792,-212.9958953857422,29.816118240356445,32.176910400390625,27.179229736328125,10000000.0
0,0,58,0.24571428571428572,-198.82725063868932,0.9314285714285714,26.076217575141946,-358.12481689453125,-55.28303527832031,313.3731689453125,-74.66795349121094,10000000.0
0,0,59,0.3314285714285714,-174.06401490347727,0.9485714285714286,21.995564051261532,-266.5600280761719,-68.08769226074219,310.39544677734375,-97.77830505371094,10000000.0
0,0,60,0.3485714285714286,-169.82733451843262,0.9314285714285714,22.943400981418776,-458.6112365722656,-49.13756561279297,300.2789306640625,-77.2989273071289,10000000.0
0,0,61,0.25142857142857145,-178.00900084359304,0.9314285714285714,23.91951317996593,-199.99855041503906,-24.317087173461914,197.61770629882812,-29.209850311279297,10000000.0
0,0,62,0.24571428571428572,-132.96379243033272,0.9485714285714286,17.14481239887644,2.307353973388672,-54.90341567993164,210.53634643554688,-75.99394226074219,10000000.0
0,0,63,0.3314285714285714,-164.81554980686732,0.9257142857142857,22.134802981911694,-212.39744567871094,-47.804649353027344,282.6807861328125,-83.47454833984375,10000000.0
0,0,64,0.2571428571428571,-176.39862506866456,0.9142857142857143,21.519080653518515,23.59000015258789,-66.00529479980469,291.5845642089844,-108.76342010498047,10000000.0
0,0,65,0.3028571428571429,-170.8945022691999,0.9428571428571428,24.328100161754296,-485.7742004394531,-79.22921752929688,318.571044921875,-154.97055053710938,10000000.0
0,0,66,0.30857142857142855,-186.36028531755719,0.9257142857142857,23.03961294988943,-242.03582763671875,-74.09101867675781,344.62109375,-108.6228256225586,10000000.0
0,0,67,0.29714285714285715,-181.86974160875593,0.92,23.502730875128503,-252.02456665039062,-70.29008483886719,347.15606689453125,-116.56971740722656,10000000.0
0,0,68,0.25142857142857145,-109.43545909336635,0.92,15.017509342198418,-117.0279541015625,-60.23405075073242,210.98712158203125,-79.14518737792969,10000000.0
0,0,69,0.3142857142857143,-169.9305142429897,0.9085714285714286,22.953450686879254,-173.5546875,-68.806884765625,342.6739501953125,-206.3991241455078,10000000.0
0,0,70,0.3028571428571429,-197.52402866363525,0.9257142857142857,23.70912316600311,-314.0591735839844,-21.41612434387207,97.78871154785156,-27.255821228027344,10000000.0
0,0,71,0.2571428571428571,-166.67801062447685,0.9257142857142857,23.21252560310101,-237.5647430419922,-80.62409973144531,324.26104736328125,-132.8575897216797,10000000.0
0,0,72,0.24571428571428572,-177.53798748016357,0.9257142857142857,23.028495094222325,-202.247314453125,-84.17759704589844,336.97247314453125,-119.90978240966797,10000000.0
0,0,73,0.25142857142857145,-132.69607912336076,0.9142857142857143,17.704273599416453,-223.6376495361328,-70.33114624023438,257.27508544921875,-90.05625915527344,10000000.0
0,0,74,0.22857142857142856,-194.62978853498186,0.9142857142857143,25.34561320909404,-252.807373046875,-74.6408462524414,366.6979675292969,-95.35771179199219,10000000.0
0,0,75,0.29714285714285715,-171.05713131495884,0.9028571428571428,21.7225446548569,-276.5934143066406,-86.70086669921875,334.1103515625,-129.3536376953125,10000000.0
0,0,76,0.28,-114.92874917166574,0.8971428571428571,16.348943989471632,-154.59202575683594,19.448335647583008,58.43754959106445,17.454330444335938,10000000.0
0,0,77,0.32571428571428573,-150.41771059308732,0.92,20.865419986431572,-261.06036376953125,-89.03211975097656,327.6077880859375,-147.1464080810547,10000000.0
0,0,78,0.33714285714285713,-186.2608861214774,0.9085714285714286,24.131693041960062,-169.562744140625,40.400333404541016,50.35637664794922,37.43996047973633,10000000.0
0,0,79,0.32,-130.87757682800293,0.8971428571428571,16.821802542401716,-115.41486358642578,-60.98306655883789,287.4418640136719,-71.05127716064453,10000000.0
0,0,80,0.2914285714285714,-160.30763905661448,0.8914285714285715,21.952076528821724,29.459999084472656,-74.05978393554688,345.7283020019531,-271.9422912597656,10000000.0
0,0,81,0.2914285714285714,-183.71919078281948,0.9371428571428572,26.10505565522205,-160.1629180908203,-84.44146728515625,379.0443115234375,-113.33264923095703,10000000.0
0,0,82,0.26285714285714284,-129.23460279192244,0.9142857142857143,19.37049902906739,-113.47794342041016,-68.49452209472656,259.0131530761719,-87.49102783203125,10000000.0
0,0,83,0.3314285714285714,-152.32695841108048,0.8857142857142857,20.698926345876284,-196.64886474609375,18.918582916259766,47.58820343017578,17.357709884643555,10000000.0
0,0,84,0.28,-184.76552178519114,0.9371428571428572,23.64225432051854,28.959999084472656,-72.96552276611328,355.2223815917969,-95.53662109375,10000000.0
0,0,85,0.28,-162.88632561819895,0.8971428571428571,20.787327366915957,-185.26463317871094,-99.81370544433594,329.549560546875,-171.4296112060547,10000000.0
0,0,86,0.2857142857142857,-151.17342034476144,0.9028571428571428,19.981043271280594,-155.95571899414062,-61.55938720703125,302.3163146972656,-75.67139434814453,10000000.0
0,0,87,0.3028571428571429,-123.849990032741,0.92,17.237412657743754,-133.70347595214844,-79.2205810546875,250.32321166992188,-198.89637756347656,10000000.0
